Field_Name,Time_Stamp,CO2_ppm,Nitrate_ppm,pH,Temp_C,Moisture_pct,Microbial_Health_Score
Field-J,2025-12-01 04:43,712,8.0,6.8,22.4,25.6,5.7 (Fair)
Field-G,2025-12-15 14:58,934,6.6,6.4,20.0,27.7,6.2 (Fair)
Field-F,2025-11-24 14:44,770,14.6,5.8,19.5,44.3,5.8 (Fair)
Field-A,2025-12-13 05:01,792,6.4,4.9,25.8,34.6,4.6 (Fair)
Field-C,2025-11-23 00:13,798,9.7,5.4,18.7,47.3,5.3 (Fair)
Field-F,2025-12-06 22:07,1127,25.5,6.0,27.7,44.7,9.9 (Excellent)
Field-B,2025-11-28 11:36,553,3.1,7.7,25.3,34.3,2.9 (Very Poor)
Field-A,2025-12-11 14:35,612,21.3,6.3,23.8,36.6,7.4 (Good)
Field-D,2025-12-06 18:51,419,16.2,7.5,23.1,48.8,4.2 (Poor)
Field-C,2025-11-29 19:52,825,4.0,5.0,20.6,32.5,3.6 (Poor)
Field-H,2025-11-27 17:24,867,15.4,5.2,19.6,39.6,6.2 (Fair)
Field-A,2025-11-21 07:29,442,3.0,5.6,27.1,46.0,1.4 (Very Poor)
Field-I,2025-12-09 06:00,458,27.0,6.5,27.7,50.0,7.7 (Good)
Field-C,2025-11-29 19:50,601,15.0,7.1,22.5,51.7,6.2 (Fair)
Field-H,2025-12-07 06:08,721,18.4,7.5,20.0,39.7,6.5 (Fair)
Field-G,2025-12-17 18:26,508,16.4,7.4,19.9,48.0,5.3 (Fair)
Field-D,2025-12-07 07:53,351,24.1,4.8,23.1,25.7,5.9 (Fair)
Field-I,2025-12-10 09:16,706,22.0,5.1,23.0,39.4,6.7 (Good)
Field-C,2025-12-17 00:47,704,26.6,5.4,23.6,49.0,8.0 (Good)
Field-D,2025-12-17 11:21,753,27.5,5.8,26.0,39.7,7.9 (Good)
Field-G,2025-12-18 09:20,416,13.5,4.9,23.8,37.2,3.5 (Poor)
Field-H,2025-12-12 21:27,840,3.4,7.3,20.0,27.3,3.8 (Poor)
Field-C,2025-11-27 09:31,631,15.7,5.1,26.4,46.6,5.7 (Fair)
Field-D,2025-12-08 23:23,671,24.3,5.5,19.8,43.5,7.0 (Good)
Field-F,2025-11-21 23:02,975,26.5,5.1,22.2,29.6,9.4 (Excellent)
Field-G,2025-12-10 14:41,746,4.7,5.5,20.4,28.2,4.1 (Poor)
Field-B,2025-12-13 22:13,905,3.6,6.0,22.1,47.6,5.1 (Fair)
Field-E,2025-12-03 04:08,850,11.4,5.8,24.3,29.8,5.1 (Fair)
Field-I,2025-12-13 12:55,611,4.4,7.5,19.3,29.4,3.0 (Very Poor)
Field-J,2025-11-30 19:28,389,18.0,5.3,27.2,29.3,4.2 (Poor)
Field-E,2025-12-16 18:12,607,18.9,7.3,24.3,44.3,6.1 (Fair)
Field-B,2025-12-12 08:27,560,18.9,4.8,21.5,49.9,5.4 (Fair)
Field-J,2025-12-11 23:11,849,24.6,4.9,21.7,39.4,8.0 (Good)
Field-I,2025-11-30 23:16,868,19.8,4.9,26.2,48.7,7.0 (Good)
Field-F,2025-12-11 02:25,578,18.0,4.8,27.4,32.8,5.6 (Fair)
Field-F,2025-11-21 07:03,635,10.1,7.8,21.2,25.5,4.1 (Poor)
Field-F,2025-11-27 07:24,376,4.6,7.3,22.0,48.6,2.0 (Very Poor)
Field-J,2025-12-07 11:09,1067,3.9,6.5,23.9,49.4,6.5 (Fair)
Field-H,2025-11-29 21:56,709,4.3,6.4,19.7,30.0,5.1 (Fair)
Field-G,2025-11-25 16:40,925,18.2,5.6,22.8,50.5,7.4 (Good)
Field-D,2025-11-24 20:15,1079,17.1,6.6,21.1,31.6,8.8 (Excellent)
Field-B,2025-12-10 23:10,754,7.3,7.4,27.4,30.6,3.9 (Poor)
Field-H,2025-12-15 11:49,518,9.5,6.6,22.4,47.6,4.3 (Poor)
Field-F,2025-12-05 17:33,857,14.8,7.4,21.2,45.6,6.7 (Good)
Field-C,2025-12-13 07:30,493,19.5,5.3,22.6,37.2,5.0 (Fair)
Field-E,2025-12-15 13:01,815,14.7,5.5,24.1,40.4,6.4 (Fair)
Field-B,2025-11-24 00:56,1119,12.8,6.1,23.1,32.5,8.1 (Good)
Field-J,2025-12-12 19:48,419,18.8,4.9,25.4,46.7,4.6 (Fair)
Field-B,2025-12-15 23:21,1149,18.9,7.7,22.1,35.3,8.2 (Good)
Field-H,2025-12-07 18:45,479,8.4,6.6,19.5,34.4,4.4 (Poor)
Field-H,2025-11-23 23:11,1017,14.0,4.8,18.4,27.8,7.5 (Good)
Field-B,2025-12-19 13:41,379,16.6,7.0,23.3,42.3,4.9 (Fair)
Field-C,2025-12-10 10:22,608,18.5,5.0,21.9,34.1,5.6 (Fair)
Field-G,2025-12-07 20:15,486,4.2,5.8,20.3,27.2,2.1 (Very Poor)
Field-G,2025-12-17 03:25,791,6.9,7.2,25.9,30.4,5.9 (Fair)
Field-H,2025-12-19 21:03,1045,14.7,5.6,24.0,36.0,7.5 (Good)
Field-B,2025-12-02 13:43,833,2.3,6.4,23.3,26.2,4.8 (Fair)
Field-G,2025-11-26 14:59,530,4.2,4.9,23.0,41.3,2.2 (Very Poor)
Field-F,2025-12-05 02:30,755,24.0,5.5,26.1,35.1,7.5 (Good)
Field-J,2025-12-10 02:07,943,15.2,7.3,22.2,37.5,7.1 (Good)
Field-J,2025-11-28 01:09,492,24.6,4.9,26.1,47.2,6.6 (Good)
Field-E,2025-11-28 21:55,689,7.5,7.2,18.2,35.9,5.5 (Fair)
Field-H,2025-11-26 23:02,518,22.3,5.0,21.0,30.7,6.3 (Fair)
Field-A,2025-12-12 16:23,462,17.1,5.8,27.0,29.1,4.3 (Poor)
Field-H,2025-11-23 03:32,842,26.1,6.1,24.4,49.9,9.4 (Excellent)
Field-I,2025-11-21 10:39,972,14.0,7.5,20.0,33.1,7.0 (Good)
Field-H,2025-11-23 08:20,604,22.4,7.1,19.4,42.0,8.0 (Good)
Field-H,2025-12-02 15:08,618,12.8,5.2,22.6,38.8,5.1 (Fair)
Field-F,2025-11-23 23:05,386,24.5,7.3,22.1,42.2,5.3 (Fair)
Field-F,2025-12-05 13:33,739,21.0,5.9,26.6,49.3,7.1 (Good)
Field-J,2025-11-28 06:03,611,23.1,5.9,23.8,33.3,6.7 (Good)
Field-F,2025-12-11 11:35,542,9.7,5.3,22.0,49.1,3.8 (Poor)
Field-G,2025-11-28 23:05,470,26.6,5.3,20.5,31.6,6.6 (Good)
Field-F,2025-12-08 12:29,366,11.5,6.5,21.2,48.1,3.9 (Poor)
Field-B,2025-11-24 04:32,446,18.2,5.8,24.7,49.8,5.1 (Fair)
Field-G,2025-11-27 17:16,431,24.5,5.6,19.3,47.9,6.1 (Fair)
Field-H,2025-12-15 13:28,556,20.7,5.8,23.0,44.3,6.3 (Fair)
Field-D,2025-12-14 13:31,543,21.2,6.3,26.6,49.6,7.4 (Good)
Field-A,2025-12-13 00:16,484,2.5,4.9,21.7,46.5,2.2 (Very Poor)
Field-I,2025-12-15 09:32,728,20.2,6.3,20.8,32.5,7.8 (Good)
Field-J,2025-11-22 00:11,1112,2.6,7.0,24.6,33.7,6.9 (Good)
Field-D,2025-12-14 02:16,476,12.4,6.5,19.0,40.8,4.8 (Fair)
Field-G,2025-12-10 18:09,874,17.0,5.7,25.1,38.9,7.3 (Good)
Field-E,2025-11-24 23:08,723,10.7,6.2,20.3,30.6,6.2 (Fair)
Field-F,2025-11-26 21:13,901,2.6,7.0,26.0,46.9,5.0 (Fair)
Field-E,2025-12-01 07:37,1045,26.4,5.6,20.0,45.9,9.5 (Excellent)
Field-D,2025-11-21 19:42,738,12.8,7.0,26.1,48.4,6.5 (Fair)
Field-F,2025-12-11 00:30,612,26.6,7.5,27.7,51.6,7.3 (Good)
Field-D,2025-11-23 10:20,850,18.0,7.7,26.1,49.7,7.4 (Good)
Field-F,2025-12-12 10:54,721,20.0,6.5,26.5,46.4,7.8 (Good)
Field-D,2025-11-26 22:58,978,10.8,7.5,24.9,51.8,6.4 (Fair)
Field-G,2025-12-05 09:36,780,5.5,5.7,23.8,29.7,4.1 (Poor)
Field-J,2025-12-15 10:19,589,6.5,7.2,27.0,41.5,4.2 (Poor)
Field-H,2025-12-14 09:02,482,22.4,6.3,28.0,51.5,6.8 (Good)
Field-C,2025-12-17 01:35,508,11.3,6.9,25.7,25.1,4.7 (Fair)
Field-I,2025-12-17 12:47,691,16.2,7.4,26.7,42.8,5.9 (Fair)
Field-F,2025-12-13 19:14,522,24.0,6.8,21.8,37.0,7.5 (Good)
Field-B,2025-12-15 11:37,936,24.0,6.6,22.5,37.3,9.5 (Excellent)
Field-A,2025-11-20 10:57,1123,8.1,7.1,19.1,35.3,8.1 (Good)
Field-F,2025-12-01 19:57,417,26.4,6.2,20.1,50.7,7.9 (Good)
Field-J,2025-12-20 04:16,371,13.5,5.5,25.6,52.0,3.9 (Poor)
Field-G,2025-12-13 20:04,428,11.3,7.2,21.3,34.9,4.2 (Poor)
Field-F,2025-12-12 11:31,519,4.5,6.3,18.7,51.3,4.0 (Poor)
Field-B,2025-11-26 13:15,1085,10.8,7.4,27.6,25.3,6.3 (Fair)
Field-F,2025-11-30 08:20,450,13.8,5.6,26.0,30.4,3.9 (Poor)
Field-J,2025-12-18 02:52,731,13.4,4.9,25.2,48.0,5.2 (Fair)
Field-G,2025-12-05 16:55,794,19.3,6.6,18.2,41.0,8.0 (Good)
Field-B,2025-12-12 00:57,997,6.9,6.1,18.6,25.7,6.6 (Good)
Field-D,2025-12-11 19:50,1088,10.0,7.1,26.9,49.2,8.2 (Good)
Field-H,2025-11-29 06:47,452,11.2,6.1,24.8,40.7,4.3 (Poor)
Field-B,2025-11-26 08:02,1105,9.9,7.0,22.8,35.2,7.5 (Good)
Field-E,2025-12-01 19:20,595,27.2,5.5,23.3,37.1,7.5 (Good)
Field-G,2025-11-26 09:15,717,27.8,6.6,24.2,43.1,8.9 (Excellent)
Field-B,2025-12-07 10:43,951,6.6,6.7,20.9,33.2,6.2 (Fair)
Field-A,2025-12-14 07:10,842,25.4,5.5,19.2,44.8,8.7 (Excellent)
Field-F,2025-12-07 12:19,732,27.8,7.4,20.5,32.0,8.2 (Good)
Field-G,2025-12-01 19:50,514,9.4,5.8,25.2,41.7,3.0 (Very Poor)
Field-D,2025-11-30 19:26,537,3.6,5.1,20.6,27.5,2.8 (Very Poor)
Field-H,2025-11-21 08:42,603,27.7,5.7,21.2,45.1,7.3 (Good)
Field-E,2025-12-04 15:46,782,25.6,5.9,25.5,25.8,7.8 (Good)
Field-A,2025-12-12 00:14,1065,9.8,6.0,25.0,42.2,7.2 (Good)
Field-I,2025-12-13 08:03,1040,23.5,4.9,27.7,30.3,9.1 (Excellent)
Field-G,2025-12-09 06:28,497,27.6,5.7,27.6,43.3,6.8 (Good)
Field-A,2025-11-26 22:18,477,23.0,5.4,23.9,35.8,5.8 (Fair)
Field-G,2025-11-23 18:22,1012,4.9,4.8,19.3,35.6,4.8 (Fair)
Field-G,2025-12-13 09:59,753,25.9,6.2,26.0,25.1,9.1 (Excellent)
Field-G,2025-11-22 04:29,515,20.7,5.7,20.3,29.5,5.2 (Fair)
Field-B,2025-12-19 21:00,920,18.6,5.3,22.9,31.7,7.4 (Good)
Field-B,2025-11-28 22:33,779,2.9,7.8,22.3,48.9,3.1 (Poor)
Field-B,2025-12-18 09:21,407,6.0,5.1,23.6,26.8,2.0 (Very Poor)
Field-C,2025-11-23 15:45,496,2.1,6.4,21.2,26.5,2.7 (Very Poor)
Field-A,2025-12-09 20:10,813,12.7,6.6,25.4,37.7,6.6 (Good)
Field-A,2025-12-12 05:33,441,12.9,5.1,26.7,51.3,3.3 (Poor)
Field-G,2025-12-09 07:02,504,9.4,6.6,21.8,28.0,4.1 (Poor)
Field-B,2025-12-19 13:27,807,19.5,6.2,27.3,47.4,8.6 (Excellent)
Field-I,2025-12-10 17:37,843,7.6,5.8,22.5,50.8,4.3 (Poor)
Field-J,2025-11-23 07:10,627,2.3,5.0,19.7,45.2,2.7 (Very Poor)
Field-G,2025-12-13 02:23,855,13.9,5.4,22.9,50.0,6.6 (Good)
Field-H,2025-11-21 15:03,756,2.0,6.2,24.3,44.3,4.4 (Poor)
Field-F,2025-12-08 04:34,771,9.8,5.6,18.5,38.1,4.5 (Poor)
Field-I,2025-12-17 06:09,437,11.9,6.3,23.7,51.4,4.9 (Fair)
Field-A,2025-12-07 06:51,1111,16.0,5.6,25.8,26.8,7.8 (Good)
Field-F,2025-12-07 21:52,474,5.5,5.8,24.0,35.2,2.5 (Very Poor)
Field-G,2025-12-06 12:25,1044,26.1,6.8,18.2,40.9,9.9 (Excellent)
Field-G,2025-12-04 07:41,583,18.6,5.4,19.9,47.1,5.4 (Fair)
Field-C,2025-12-17 02:28,669,17.3,5.2,27.0,37.8,6.1 (Fair)
Field-H,2025-11-30 11:31,630,23.5,6.2,22.8,34.9,8.1 (Good)
Field-A,2025-12-04 22:57,1000,23.8,7.2,18.8,29.3,9.9 (Excellent)
Field-G,2025-12-11 12:14,488,12.4,7.1,22.2,43.0,5.2 (Fair)
Field-C,2025-12-02 16:22,899,6.3,6.0,23.1,42.6,5.8 (Fair)
Field-F,2025-12-05 01:44,941,24.1,6.2,25.8,51.2,9.4 (Excellent)
Field-F,2025-11-27 03:26,822,27.9,6.6,20.5,33.5,9.9 (Excellent)
Field-H,2025-12-08 23:11,809,3.4,6.9,20.6,42.6,4.9 (Fair)
Field-F,2025-11-27 09:06,658,24.8,5.0,26.0,49.2,6.8 (Good)
Field-D,2025-12-02 20:51,350,13.3,6.3,19.1,45.6,4.1 (Poor)
Field-B,2025-12-20 00:18,546,3.1,6.7,27.2,25.1,3.0 (Very Poor)
Field-C,2025-11-28 17:39,421,24.4,6.6,19.5,42.3,7.3 (Good)
Field-E,2025-12-18 20:07,935,15.7,5.2,23.1,51.4,6.9 (Good)
Field-B,2025-12-05 11:00,986,6.0,7.2,21.8,36.8,6.1 (Fair)
Field-J,2025-11-22 10:37,538,12.4,5.7,20.2,51.3,3.9 (Poor)
Field-H,2025-12-16 09:25,901,12.1,4.9,19.4,40.4,6.4 (Fair)
Field-F,2025-12-11 05:15,733,16.5,5.8,20.9,34.1,6.4 (Fair)
Field-G,2025-12-02 13:47,760,5.1,7.3,26.2,32.9,3.8 (Poor)
Field-G,2025-12-01 10:27,421,11.5,4.9,27.6,41.4,3.0 (Very Poor)
Field-J,2025-11-24 21:38,900,11.0,6.5,25.8,51.3,7.1 (Good)
Field-A,2025-12-02 04:01,1130,2.8,6.3,22.5,34.2,7.0 (Good)
Field-B,2025-11-21 12:31,408,11.0,7.5,22.3,27.7,3.1 (Poor)
Field-C,2025-12-11 23:54,782,5.0,5.0,22.6,37.1,4.3 (Poor)
Field-B,2025-12-13 16:49,983,20.6,6.5,26.3,47.9,9.2 (Excellent)
Field-D,2025-12-18 05:05,832,9.3,4.8,18.0,37.2,5.3 (Fair)
Field-H,2025-12-12 23:56,830,18.1,6.8,21.7,28.6,7.8 (Good)
Field-D,2025-11-24 17:18,457,15.3,6.4,20.7,29.2,5.5 (Fair)
Field-D,2025-12-03 08:41,877,26.0,5.9,19.9,43.6,8.5 (Good)
Field-F,2025-12-13 14:59,523,23.8,6.1,26.6,45.4,7.1 (Good)
Field-H,2025-12-06 09:26,1011,16.6,5.2,19.6,26.0,7.1 (Good)
Field-E,2025-12-07 13:04,684,18.5,6.8,23.9,26.4,7.0 (Good)
Field-J,2025-11-29 17:38,920,8.1,6.0,26.5,31.4,6.9 (Good)
Field-D,2025-12-09 11:21,824,9.9,6.9,27.9,50.2,6.7 (Good)
Field-F,2025-12-04 11:25,392,10.7,6.5,19.7,44.1,4.0 (Poor)
Field-E,2025-12-09 03:09,1128,6.9,6.1,24.7,44.9,7.7 (Good)
Field-B,2025-11-25 13:59,571,9.0,5.1,24.4,30.3,3.2 (Poor)
Field-A,2025-12-06 20:40,1097,17.8,6.4,20.0,27.3,9.1 (Excellent)
Field-J,2025-12-09 07:10,868,22.2,7.1,18.4,29.0,9.1 (Excellent)
Field-H,2025-11-24 21:32,987,5.0,7.7,28.0,30.5,5.0 (Fair)
Field-A,2025-11-26 01:22,1130,2.7,7.2,23.0,46.4,6.7 (Good)
Field-D,2025-12-02 05:47,526,4.0,6.2,25.2,46.3,3.1 (Poor)
Field-C,2025-12-14 16:08,783,6.2,6.1,24.2,34.4,5.0 (Fair)
Field-F,2025-12-07 20:34,1091,19.5,5.9,27.5,35.8,9.0 (Excellent)
Field-J,2025-12-13 19:02,1043,20.4,6.8,24.1,46.5,9.8 (Excellent)
Field-D,2025-12-03 05:27,580,11.8,5.1,24.4,41.5,4.3 (Poor)
Field-D,2025-12-16 08:08,923,16.7,5.4,24.6,35.8,6.6 (Good)
Field-H,2025-11-23 23:53,395,24.2,5.9,18.7,33.6,6.1 (Fair)
Field-B,2025-12-12 16:08,444,19.8,7.1,26.6,29.2,6.5 (Fair)
Field-E,2025-12-20 01:36,1053,15.1,6.4,22.2,44.8,8.8 (Excellent)
Field-C,2025-11-25 13:55,925,6.0,4.9,23.0,51.7,4.7 (Fair)
Field-D,2025-12-14 18:07,1061,12.7,7.7,20.8,42.6,7.3 (Good)
Field-A,2025-12-18 22:44,829,26.6,6.6,19.7,42.3,9.9 (Excellent)
Field-I,2025-12-18 19:06,922,19.5,6.8,24.6,28.8,8.9 (Excellent)
Field-G,2025-12-04 12:21,821,10.0,7.3,22.1,42.5,5.1 (Fair)
Field-I,2025-11-30 17:16,592,22.5,7.2,20.8,31.9,7.8 (Good)
Field-D,2025-12-04 06:05,518,21.5,7.7,22.6,44.8,6.1 (Fair)
Field-H,2025-12-08 13:50,373,6.0,7.1,22.1,48.2,3.6 (Poor)
Field-J,2025-11-27 05:00,868,16.4,6.8,18.7,50.3,7.9 (Good)
Field-F,2025-11-28 15:14,366,23.3,6.3,26.0,25.2,6.2 (Fair)
Field-E,2025-12-09 20:45,824,19.4,5.8,21.7,44.8,7.0 (Good)
Field-B,2025-11-28 10:41,546,15.7,5.0,22.0,50.5,4.8 (Fair)
Field-G,2025-11-24 17:04,785,3.0,6.4,25.9,50.7,5.3 (Fair)
Field-A,2025-11-24 18:29,1125,23.2,7.7,18.2,47.0,9.1 (Excellent)
Field-I,2025-11-26 13:41,965,11.1,6.6,24.8,35.9,7.7 (Good)
Field-F,2025-12-08 10:07,362,19.8,5.4,20.1,51.5,4.8 (Fair)
Field-I,2025-12-05 15:04,567,4.0,6.0,21.1,45.1,3.4 (Poor)
Field-D,2025-12-17 22:17,696,11.0,7.1,25.2,29.3,6.0 (Fair)
Field-H,2025-11-20 22:46,396,3.1,7.3,28.0,28.1,1.8 (Very Poor)
Field-H,2025-12-09 09:32,559,8.3,6.8,18.6,26.9,4.8 (Fair)
Field-D,2025-11-23 16:14,1076,21.0,7.6,19.4,45.8,8.8 (Excellent)
Field-B,2025-11-26 16:54,930,21.0,6.4,26.4,48.7,9.2 (Excellent)
Field-B,2025-12-17 05:22,978,2.2,4.8,26.9,33.1,4.3 (Poor)
Field-I,2025-12-10 23:15,975,3.2,5.4,20.8,29.0,4.4 (Poor)
Field-G,2025-12-15 01:37,798,10.8,6.4,24.9,29.7,6.6 (Good)
Field-B,2025-12-19 10:07,515,21.1,6.9,23.9,37.4,7.4 (Good)
Field-G,2025-11-27 15:04,1021,3.5,6.2,24.2,46.1,5.9 (Fair)
Field-E,2025-12-10 05:46,690,9.6,5.1,21.9,50.0,4.6 (Fair)
Field-F,2025-11-20 18:32,500,3.5,5.2,21.8,50.4,2.5 (Very Poor)
Field-G,2025-12-11 18:50,664,11.2,6.2,19.1,39.7,6.1 (Fair)
Field-G,2025-11-24 02:57,628,6.9,7.7,24.9,32.2,3.1 (Poor)
Field-C,2025-12-05 17:22,362,9.0,7.7,19.1,33.9,2.3 (Very Poor)
Field-B,2025-11-25 17:32,1108,16.6,4.8,26.4,45.9,8.2 (Good)
Field-H,2025-12-08 06:27,901,19.5,5.3,26.8,43.9,7.8 (Good)
Field-I,2025-11-23 09:27,616,20.9,5.8,21.7,30.4,5.8 (Fair)
Field-I,2025-12-16 13:11,978,16.0,7.2,27.5,39.0,8.8 (Excellent)
Field-J,2025-12-05 07:37,362,10.8,5.4,22.8,31.9,3.3 (Poor)
Field-G,2025-12-03 08:54,410,13.6,5.6,20.2,28.4,3.7 (Poor)
Field-A,2025-11-23 15:00,603,24.8,7.8,23.5,37.5,6.5 (Fair)
Field-D,2025-12-06 11:04,908,23.4,7.2,20.8,39.2,9.8 (Excellent)
Field-C,2025-12-04 23:04,541,26.0,6.5,26.8,31.2,8.4 (Good)
Field-G,2025-12-14 08:43,746,16.3,7.3,26.9,35.7,5.8 (Fair)
Field-I,2025-12-06 02:16,637,9.2,7.3,25.0,37.5,4.3 (Poor)
Field-C,2025-12-09 00:04,1055,16.8,5.5,27.4,26.9,8.0 (Good)
Field-E,2025-11-24 07:33,456,4.8,4.9,19.1,48.1,2.1 (Very Poor)
Field-E,2025-12-16 16:11,789,10.8,7.1,26.3,33.9,6.8 (Good)
Field-G,2025-12-20 04:32,1099,3.4,7.6,27.8,49.9,5.6 (Fair)
Field-E,2025-11-30 16:19,1122,8.0,7.6,23.3,41.5,6.8 (Good)
Field-C,2025-11-20 20:36,547,27.0,7.2,27.6,31.3,8.5 (Good)
Field-B,2025-12-07 15:12,962,5.4,4.9,21.7,39.8,4.8 (Fair)
Field-F,2025-11-30 18:09,581,17.9,5.3,19.1,26.3,5.9 (Fair)
Field-H,2025-12-16 22:52,724,21.3,6.4,20.9,27.4,8.1 (Good)
Field-J,2025-12-03 05:05,900,3.7,5.6,26.4,48.7,4.1 (Poor)
Field-H,2025-12-16 23:18,881,11.8,6.6,23.4,40.1,7.6 (Good)
Field-H,2025-12-09 00:33,377,24.0,5.0,27.4,45.6,6.1 (Fair)
Field-G,2025-12-09 12:13,845,13.9,7.7,18.5,40.2,5.8 (Fair)
Field-B,2025-11-28 14:15,1058,21.9,5.4,27.2,26.2,9.1 (Excellent)
Field-D,2025-12-14 05:09,1144,24.6,7.0,23.0,44.5,9.9 (Excellent)
Field-E,2025-12-02 00:38,598,7.2,7.5,19.1,46.3,3.1 (Poor)
Field-C,2025-12-06 04:38,452,2.6,7.6,21.3,40.9,1.5 (Very Poor)
Field-F,2025-12-04 14:01,864,26.0,4.9,24.1,44.1,9.0 (Excellent)
Field-D,2025-12-17 00:54,446,4.6,6.7,21.2,49.6,3.0 (Very Poor)
Field-G,2025-12-18 00:13,646,21.3,5.9,25.3,33.8,7.0 (Good)
Field-E,2025-12-14 20:04,1074,17.1,5.0,24.0,31.6,8.2 (Good)
Field-E,2025-11-27 10:13,847,14.7,7.2,23.1,25.5,7.8 (Good)
Field-E,2025-12-20 03:35,992,9.7,5.4,20.3,38.9,6.0 (Fair)
Field-B,2025-11-21 03:30,671,9.5,5.8,24.0,39.9,4.1 (Poor)
Field-G,2025-12-18 20:51,1117,26.9,7.4,27.8,29.1,9.9 (Excellent)
Field-J,2025-11-26 22:00,625,16.4,6.3,25.9,43.1,6.3 (Fair)
Field-B,2025-11-23 13:28,1008,25.2,5.9,19.8,47.5,9.6 (Excellent)
Field-E,2025-12-09 20:36,562,27.8,5.9,23.9,26.9,7.5 (Good)
Field-D,2025-11-28 23:39,765,9.6,6.7,19.5,40.6,6.2 (Fair)
Field-I,2025-11-26 11:37,748,21.6,7.8,22.5,27.5,7.5 (Good)
Field-B,2025-12-09 03:16,580,13.9,5.0,20.6,26.3,4.4 (Poor)
Field-E,2025-12-16 12:04,682,10.6,5.6,22.3,47.1,4.8 (Fair)
Field-J,2025-12-11 20:51,504,16.2,6.3,22.9,44.0,6.3 (Fair)
Field-I,2025-12-18 20:21,942,7.4,5.2,27.7,50.6,4.8 (Fair)
Field-B,2025-12-16 23:42,877,11.0,5.2,18.7,48.2,5.8 (Fair)
Field-C,2025-11-21 02:41,973,23.4,5.0,24.0,38.3,8.7 (Excellent)
Field-B,2025-11-28 15:42,1013,26.3,6.2,20.5,40.1,9.9 (Excellent)
Field-E,2025-11-27 12:57,822,22.2,6.2,20.6,25.5,8.5 (Good)
Field-H,2025-12-19 09:40,711,20.7,5.8,25.0,45.4,6.9 (Good)
Field-A,2025-12-10 21:58,751,12.8,5.0,20.9,51.5,5.3 (Fair)
Field-G,2025-11-30 03:08,593,5.7,5.4,19.0,29.0,3.6 (Poor)
Field-I,2025-12-19 16:52,479,14.5,6.6,24.8,46.9,5.8 (Fair)
Field-C,2025-12-15 03:58,918,12.1,7.5,22.3,47.0,6.6 (Good)
Field-H,2025-11-22 09:07,719,21.8,5.1,24.2,43.3,7.3 (Good)
Field-H,2025-12-16 02:55,358,19.0,5.7,23.6,28.0,4.9 (Fair)
Field-J,2025-11-27 23:24,723,8.5,7.0,23.1,36.4,6.0 (Fair)
Field-H,2025-11-23 17:22,984,20.6,5.0,22.6,43.3,8.0 (Good)
Field-I,2025-12-06 10:52,580,27.0,5.6,22.3,30.1,7.2 (Good)
Field-I,2025-12-15 20:21,529,26.4,6.8,18.8,35.4,7.8 (Good)
Field-B,2025-12-12 11:49,531,7.6,7.6,23.4,51.2,3.1 (Poor)
Field-D,2025-12-01 14:08,613,20.6,6.1,18.7,48.4,7.4 (Good)
Field-F,2025-12-02 02:39,731,10.5,6.2,23.4,27.7,5.8 (Fair)
Field-D,2025-12-01 14:29,660,16.5,4.9,20.2,30.8,5.5 (Fair)
Field-F,2025-12-05 10:36,962,15.3,6.8,24.7,35.9,8.3 (Good)
Field-G,2025-12-05 10:48,571,3.8,7.3,20.3,45.7,2.6 (Very Poor)
Field-A,2025-12-07 01:24,431,6.4,5.4,24.1,49.0,2.3 (Very Poor)
Field-B,2025-12-05 11:03,1021,18.4,4.9,25.5,30.1,8.2 (Good)
Field-B,2025-12-09 21:47,423,21.7,6.6,24.0,51.4,6.2 (Fair)
Field-E,2025-12-19 13:12,689,2.5,7.5,23.3,27.8,2.8 (Very Poor)
Field-H,2025-12-01 11:53,892,27.1,6.8,19.6,51.8,9.9 (Excellent)
Field-D,2025-12-13 18:12,631,26.7,5.1,27.4,29.9,7.3 (Good)
Field-D,2025-12-17 10:55,480,8.2,6.7,24.6,34.4,4.4 (Poor)
Field-D,2025-11-25 06:17,555,6.4,6.4,27.5,42.6,4.2 (Poor)
Field-C,2025-11-25 20:59,801,21.0,6.8,20.7,47.6,8.3 (Good)
Field-E,2025-12-13 22:31,1114,5.0,7.1,26.9,27.1,6.5 (Fair)
Field-D,2025-12-15 21:13,752,9.8,5.5,22.6,28.0,4.7 (Fair)
Field-A,2025-12-18 06:00,1087,20.2,7.3,23.2,35.3,9.1 (Excellent)
Field-H,2025-11-25 04:48,898,3.9,6.5,27.1,44.7,5.9 (Fair)
Field-G,2025-12-05 15:16,1104,24.5,7.0,20.7,25.6,9.9 (Excellent)
Field-A,2025-12-15 06:25,917,6.0,6.3,18.4,49.7,6.3 (Fair)
Field-J,2025-12-10 17:37,465,3.0,6.3,20.3,51.5,3.1 (Poor)
Field-C,2025-12-01 22:32,532,11.9,7.5,19.6,33.9,4.1 (Poor)
Field-C,2025-12-08 06:54,962,5.7,7.7,27.9,29.3,5.3 (Fair)
Field-I,2025-12-04 09:52,427,17.8,5.0,20.1,42.7,4.4 (Poor)
Field-E,2025-12-15 14:27,620,13.7,7.3,20.7,44.2,5.3 (Fair)
Field-I,2025-12-16 01:12,484,7.3,6.0,18.4,42.0,4.0 (Poor)
Field-I,2025-12-16 17:57,407,27.7,7.2,26.3,28.3,8.0 (Good)
Field-H,2025-12-08 18:25,914,10.4,5.7,18.1,29.2,5.6 (Fair)
Field-I,2025-11-26 18:27,365,25.5,6.8,21.2,51.5,6.7 (Good)
